date,number-1,number-2,number-3,number-4,number-5,number-6,prize
07/03/2025,08,11,12,20,25,32,19.015.032.000
05/03/2025,10,22,32,37,41,43,17.354.094.000
02/03/2025,08,24,30,33,42,45,15.328.308.500
28/02/2025,10,11,14,16,21,29,13.537.177.000
26/02/2025,02,13,15,16,18,20,22.893.989.000
23/02/2025,10,12,15,17,24,33,20.715.045.000
21/02/2025,04,09,19,20,30,42,18.757.108.500
19/02/2025,01,06,10,11,25,29,16.995.194.500
16/02/2025,11,19,26,28,35,40,15.385.461.000
14/02/2025,06,08,10,27,28,32,13.642.050.000
12/02/2025,07,19,31,39,42,43,20.547.584.500
09/02/2025,08,16,22,27,31,34,18.275.685.500
07/02/2025,04,05,25,27,35,39,16.338.643.500
05/02/2025,04,06,09,14,25,41,14.118.575.500
02/02/2025,15,20,22,29,32,36,152.678.407.000
31/01/2025,02,15,16,32,42,45,139.780.079.500
26/01/2025,05,08,09,11,20,29,126.005.043.500
24/01/2025,01,07,11,22,31,34,113.638.180.500
22/01/2025,03,21,26,29,32,33,100.732.063.000
19/01/2025,05,06,10,19,32,38,88.694.200.500
17/01/2025,02,12,22,31,34,35,79.711.876.500
15/01/2025,02,06,08,10,23,33,70.643.696.000
12/01/2025,02,09,12,14,41,44,64.648.452.500
10/01/2025,02,04,08,28,42,44,60.864.897.000
08/01/2025,02,03,17,33,37,38,57.135.772.500
05/01/2025,02,07,15,37,41,42,53.382.262.500
03/01/2025,06,12,21,27,34,41,50.082.418.000
01/01/2025,14,20,25,28,36,40,47.338.930.500
29/12/2024,05,08,19,31,34,43,44.067.745.500
27/12/2024,01,10,13,24,25,33,41.293.911.500
25/12/2024,08,13,20,25,28,39,38.615.657.500
22/12/2024,15,16,24,27,31,44,36.004.612.500
20/12/2024,06,09,12,21,28,33,33.371.997.000
18/12/2024,03,07,12,16,26,34,31.310.806.000
15/12/2024,01,10,20,22,23,36,29.082.832.000
13/12/2024,03,07,29,36,37,44,26.867.060.000
11/12/2024,02,10,17,23,29,33,24.777.935.000
08/12/2024,01,13,24,26,27,37,22.725.738.500
06/12/2024,08,14,18,26,34,42,20.515.681.000
04/12/2024,07,14,19,24,34,36,18.798.154.500
01/12/2024,15,17,25,29,33,35,17.057.985.500
29/11/2024,12,15,33,35,37,45,15.190.794.500
27/11/2024,06,21,24,31,42,44,13.588.912.500
24/11/2024,05,14,15,21,33,36,16.930.514.500
22/11/2024,01,14,15,19,38,40,15.156.338.000
20/11/2024,04,16,24,29,31,37,13.418.918.000
17/11/2024,11,17,29,31,38,42,13.537.887.500
15/11/2024,08,13,31,36,37,40,45.581.631.000
13/11/2024,03,23,28,35,39,42,42.456.900.000
10/11/2024,03,07,11,12,13,40,39.606.306.500
08/11/2024,11,15,18,27,34,37,37.004.206.500
06/11/2024,01,02,03,11,25,37,34.366.173.000
03/11/2024,01,04,05,16,20,22,31.646.618.500
01/11/2024,20,22,23,32,35,40,29.358.428.000
30/10/2024,04,13,20,29,32,37,26.810.933.500
27/10/2024,18,21,28,29,33,45,24.626.576.000
25/10/2024,03,10,31,32,34,40,22.669.162.000
23/10/2024,22,27,28,31,37,44,20.513.466.500
20/10/2024,06,23,24,25,26,34,18.553.176.000
18/10/2024,13,19,20,22,24,37,16.591.982.500
16/10/2024,04,14,19,23,24,37,14.890.252.500
13/10/2024,07,10,13,17,21,45,13.369.031.000
11/10/2024,11,19,26,28,29,43,13.354.346.000
09/10/2024,14,18,20,22,34,45,13.438.081.500
06/10/2024,07,14,33,36,42,43,16.416.912.500
04/10/2024,08,10,21,32,39,44,14.724.040.000
02/10/2024,05,06,11,23,31,36,13.365.690.500
29/09/2024,03,07,16,17,41,42,27.222.998.500
27/09/2024,01,06,18,25,39,44,25.263.520.500
25/09/2024,10,23,25,27,31,37,23.337.824.500
22/09/2024,20,23,28,36,40,42,21.434.713.500
20/09/2024,13,14,19,20,30,33,19.410.440.000
18/09/2024,04,08,27,28,35,36,17.855.427.500
15/09/2024,03,11,28,32,33,35,16.097.503.500
13/09/2024,06,12,27,34,41,42,14.538.458.000
11/09/2024,06,11,19,23,34,37,13.176.145.000
08/09/2024,03,08,10,26,34,37,28.144.908.000
06/09/2024,05,25,28,32,36,41,26.383.657.500
04/09/2024,02,07,15,18,24,33,24.441.923.000
01/09/2024,30,31,33,38,42,43,22.540.554.500
30/08/2024,02,15,19,26,34,36,20.718.469.000
28/08/2024,04,05,17,25,39,41,18.798.951.500
25/08/2024,06,10,15,17,40,42,17.010.599.000
23/08/2024,07,13,26,28,35,41,15.205.954.500
21/08/2024,07,08,09,15,22,30,13.466.623.500
18/08/2024,04,13,28,33,35,38,15.056.391.500
16/08/2024,16,22,23,30,34,41,13.447.188.500
14/08/2024,01,06,09,21,43,44,17.116.579.000
11/08/2024,17,18,19,33,35,37,15.199.287.000
09/08/2024,06,14,15,24,26,39,13.483.702.000
07/08/2024,11,19,22,29,40,44,47.395.426.500
04/08/2024,01,04,16,18,20,32,42.127.575.500
02/08/2024,09,14,19,34,37,41,37.052.164.000
31/07/2024,02,04,12,16,18,42,33.278.054.500
28/07/2024,01,13,21,25,31,39,31.100.674.000
26/07/2024,18,20,28,31,39,45,28.738.175.000
24/07/2024,07,08,20,27,32,34,26.628.545.500
21/07/2024,09,10,23,25,28,38,24.380.999.000
19/07/2024,01,10,20,25,34,35,22.544.117.000
17/07/2024,09,10,11,16,21,30,20.516.749.500
14/07/2024,09,18,33,37,38,43,18.676.058.500
12/07/2024,11,17,25,26,28,29,17.018.319.000
10/07/2024,23,24,36,37,40,45,15.294.625.500
07/07/2024,04,08,22,23,26,45,13.539.605.500
05/07/2024,04,23,33,38,40,44,20.185.430.500
03/07/2024,11,18,24,34,38,43,18.339.607.000
30/06/2024,05,23,25,28,30,43,16.735.323.500
28/06/2024,04,06,16,32,41,44,15.172.247.000
26/06/2024,08,10,29,30,33,40,13.538.712.500
23/06/2024,09,11,19,29,31,44,19.775.097.000
21/06/2024,03,07,11,16,19,35,18.108.742.500
19/06/2024,08,12,17,23,26,27,16.583.396.500
16/06/2024,03,16,17,18,25,37,15.109.366.500
14/06/2024,10,24,25,26,30,41,13.410.838.000
12/06/2024,01,02,08,13,26,34,41.467.525.000
09/06/2024,04,05,28,32,37,42,36.917.178.000
07/06/2024,15,19,24,25,27,39,32.584.730.500
05/06/2024,11,25,28,33,34,45,28.609.380.500
02/06/2024,02,07,13,23,25,45,24.397.894.000
31/05/2024,04,08,15,23,31,40,22.426.387.500
29/05/2024,04,21,25,27,35,39,20.570.219.000
26/05/2024,04,09,11,14,19,27,18.585.169.500
24/05/2024,02,14,15,17,23,40,16.892.502.000
22/05/2024,02,03,10,22,41,43,15.046.246.500
19/05/2024,05,19,25,35,37,39,13.304.746.000
17/05/2024,08,22,27,29,39,43,69.796.747.000
15/05/2024,03,11,13,21,24,34,63.000.355.500
12/05/2024,03,05,06,09,32,45,56.872.464.500
10/05/2024,12,13,31,38,42,43,53.511.343.500
08/05/2024,02,10,13,22,30,34,50.378.948.500
05/05/2024,10,12,14,16,21,39,47.438.133.000
03/05/2024,01,13,14,21,27,43,44.647.657.500
01/05/2024,07,09,17,20,25,29,41.717.518.000
28/04/2024,01,13,14,22,23,37,39.429.278.000
26/04/2024,02,03,25,34,35,38,36.854.769.000
24/04/2024,07,21,30,33,38,39,33.913.442.500
21/04/2024,07,21,36,38,40,45,31.115.578.500
19/04/2024,02,03,20,21,32,33,28.496.335.000
17/04/2024,09,16,26,27,32,41,25.900.366.000
14/04/2024,07,12,16,29,42,45,23.427.026.500
12/04/2024,06,17,18,26,43,45,21.014.657.500
10/04/2024,02,10,30,33,34,40,18.500.289.500
07/04/2024,03,11,15,17,24,35,15.945.247.500
05/04/2024,14,18,22,29,36,37,13.802.587.000
03/04/2024,07,11,14,22,29,34,15.715.733.000
31/03/2024,05,12,13,17,40,41,13.833.689.000
29/03/2024,04,07,25,34,35,38,24.266.327.500
27/03/2024,06,29,31,35,42,44,21.920.780.500
24/03/2024,01,14,22,28,32,42,19.560.299.000
22/03/2024,05,06,11,20,24,45,17.383.898.500
20/03/2024,08,14,26,28,43,45,15.554.264.500
17/03/2024,01,03,05,26,30,42,13.712.050.500
15/03/2024,09,11,16,29,31,33,25.152.452.500
13/03/2024,01,13,25,30,34,40,23.424.929.500
10/03/2024,04,12,19,23,36,41,20.891.137.000
08/03/2024,02,26,28,40,41,45,19.076.425.000
06/03/2024,11,15,34,39,41,43,16.998.337.500
03/03/2024,03,10,17,20,22,27,15.089.165.000
01/03/2024,20,22,24,26,28,37,13.505.728.500
28/02/2024,01,10,21,25,32,39,13.552.229.000
25/02/2024,05,07,10,12,15,26,13.116.681.000
23/02/2024,04,17,19,27,28,36,55.896.580.500
21/02/2024,02,08,14,19,24,42,50.440.757.500
18/02/2024,05,19,20,21,24,40,45.166.929.000
16/02/2024,06,10,16,20,40,42,40.113.943.000
14/02/2024,08,09,11,12,40,44,35.490.259.000
11/02/2024,07,18,31,33,35,41,31.449.479.500
07/02/2024,17,21,24,25,39,42,26.679.187.500
04/02/2024,09,15,21,29,33,39,23.589.111.000
02/02/2024,01,15,29,31,32,34,21.772.445.000
31/01/2024,09,11,15,35,38,41,19.563.269.500
28/01/2024,03,23,25,29,36,41,17.814.565.000
26/01/2024,08,19,22,27,31,35,16.171.568.000
24/01/2024,07,27,30,36,39,45,14.729.627.500
21/01/2024,11,20,22,23,26,31,13.390.683.500
19/01/2024,08,15,20,24,43,44,48.351.151.000
17/01/2024,14,19,21,36,43,44,43.773.001.000
14/01/2024,02,08,19,20,24,42,39.228.755.000
12/01/2024,10,11,20,27,39,43,35.243.823.000
10/01/2024,10,12,18,19,29,43,31.561.758.500
07/01/2024,03,04,15,18,36,45,27.818.430.500
05/01/2024,09,16,29,31,33,42,24.663.684.500
03/01/2024,09,14,19,20,29,40,22.767.710.000
31/12/2023,13,14,23,25,34,44,21.072.294.500
29/12/2023,16,20,22,35,37,39,19.275.775.000
27/12/2023,08,16,23,34,36,39,17.680.939.500
24/12/2023,01,02,05,24,40,43,16.190.373.500
22/12/2023,02,12,14,16,34,38,14.542.048.500
20/12/2023,05,15,16,21,22,32,13.317.089.500
17/12/2023,03,07,18,20,31,33,32.398.072.500
15/12/2023,01,05,10,11,20,40,28.627.080.000
13/12/2023,03,07,11,20,28,44,25.402.013.000
10/12/2023,09,10,11,17,41,44,23.299.498.500
08/12/2023,11,15,16,17,42,43,21.503.268.500
06/12/2023,18,19,20,29,41,42,19.757.570.500
03/12/2023,12,14,16,21,29,32,17.845.608.000
01/12/2023,05,10,14,21,27,32,16.300.633.500
29/11/2023,09,22,24,32,38,39,14.760.004.000
26/11/2023,04,06,15,23,25,36,13.191.038.000
24/11/2023,05,18,22,34,41,45,96.243.094.000
22/11/2023,15,18,20,23,37,39,87.610.138.500
19/11/2023,01,03,19,20,26,34,79.611.327.000
17/11/2023,16,20,25,26,36,41,71.959.468.000
15/11/2023,02,03,12,16,30,37,64.531.119.500
12/11/2023,02,04,10,15,27,31,57.741.013.000
10/11/2023,01,04,10,13,14,44,52.013.662.000
08/11/2023,07,20,23,27,31,33,46.370.024.000
05/11/2023,01,13,16,18,23,25,41.347.137.000
03/11/2023,02,07,09,13,22,38,36.816.190.500
01/11/2023,01,03,15,16,23,28,34.834.282.500
29/10/2023,05,07,15,21,32,45,32.603.524.000
27/10/2023,07,10,14,21,26,37,30.339.644.500
25/10/2023,04,06,13,25,31,41,28.509.002.000
22/10/2023,10,13,14,19,35,40,26.107.271.500
20/10/2023,04,16,21,24,26,37,24.166.305.500
18/10/2023,02,07,18,20,24,29,22.112.806.000
15/10/2023,04,05,09,27,34,39,20.172.156.000
13/10/2023,01,11,16,39,40,45,18.683.183.000
11/10/2023,05,10,30,40,44,45,17.304.235.500
08/10/2023,04,16,22,28,33,39,15.968.955.500
06/10/2023,18,19,24,28,33,40,14.611.984.000
04/10/2023,07,17,21,32,40,45,13.094.802.500
01/10/2023,02,11,13,16,41,43,13.646.085.500
29/09/2023,02,08,24,27,30,43,13.077.534.000
27/09/2023,03,12,22,30,37,39,37.479.466.500
24/09/2023,04,08,23,27,30,36,35.790.940.500
22/09/2023,02,16,17,18,20,23,34.126.014.500
20/09/2023,03,06,20,39,40,41,32.375.490.000
17/09/2023,06,10,15,36,39,43,30.649.643.500
15/09/2023,02,03,05,07,10,38,29.109.343.500
13/09/2023,02,04,07,09,12,13,27.497.610.500
10/09/2023,04,05,10,18,27,40,26.272.334.000
08/09/2023,06,08,14,29,39,42,24.718.436.500
06/09/2023,03,04,12,18,19,29,23.348.795.000
03/09/2023,01,33,38,39,44,45,22.006.990.500
01/09/2023,09,14,16,19,28,41,20.706.940.500
30/08/2023,13,17,20,28,30,33,19.335.329.000
27/08/2023,24,27,30,37,44,45,17.754.370.000
25/08/2023,08,18,30,32,38,45,16.395.939.500
23/08/2023,05,14,18,19,29,31,14.916.257.500
20/08/2023,07,08,22,23,30,42,13.295.078.500
18/08/2023,12,19,21,22,34,38,14.818.425.000
16/08/2023,05,07,25,31,39,41,13.359.965.500
13/08/2023,09,15,23,33,35,40,20.257.762.000
11/08/2023,16,21,26,29,30,45,18.455.034.500
09/08/2023,18,22,30,31,39,41,16.571.524.500
06/08/2023,04,15,19,25,30,38,14.785.414.000
04/08/2023,02,12,22,38,41,44,13.278.988.000
02/08/2023,04,21,27,38,39,44,40.017.756.500
30/07/2023,03,17,23,33,42,45,35.508.728.000
28/07/2023,07,27,28,30,31,35,31.497.747.500
26/07/2023,04,13,18,21,29,37,27.710.756.500
23/07/2023,14,17,23,32,33,43,24.294.014.000
21/07/2023,09,20,31,33,36,45,22.442.762.000
19/07/2023,06,10,19,37,43,45,20.583.141.500
16/07/2023,01,07,16,18,21,29,19.016.179.500
14/07/2023,04,05,13,19,27,37,17.548.985.500
12/07/2023,19,24,27,31,33,43,16.100.659.000
09/07/2023, 14,16,27,28,33,41,14.604.632.000
07/07/2023,05,09,12,20,37,42,13.189.469.000
05/07/2023,01,12,24,27,36,44,39.273.525.000
02/07/2023,03,05,08,17,37,41,35.467.876.000
30/06/2023,02,05,20,23,31,38,33.208.130.500
28/06/2023,04,08,24,31,42,45,31.243.389.000
25/06/2023,04,06,07,25,26,30,28.708.833.500
23/06/2023,10,14,15,20,24,45,26.655.630.500
21/06/2023,07,13,19,35,37,38,24.773.674.000
18/06/2023,03,04,08,18,21,33,23.071.734.000
16/06/2023,24,26,32,37,38,41,21.207.310.000
14/06/2023,02,28,31,37,41,44,19.452.645.000
11/06/2023,05,18,22,40,41,44,17.836.752.000
09/06/2023,15,16,23,25,40,41,16.259.386.500
07/06/2023,01,07,14,16,34,44,14.678.190.500
04/06/2023,03,15,19,35,36,43,13.233.555.500
02/06/2023,03,11,14,19,21,43,15.897.330.000
31/05/2023,04,09,10,22,41,44,14.537.298.000
28/05/2023,06,13,19,20,37,44,13.230.312.000
26/05/2023,08,10,19,25,35,44,75.088.880.001
24/05/2023,09,11,15,28,33,44,69.074.823.500
21/05/2023,08,10,17,19,24,41,62.996.443.000
19/05/2023,03,09,10,27,35,38,57.421.891.500
17/05/2023,02,06,13,20,28,44,52.007.827.500
14/05/2023,07,08,13,37,42,44,46.700.646.500
12/05/2023,02,06,08,09,15,27,42.229.126.500
10/05/2023,07,08,09,13,15,27,38.480.580.500
07/05/2023,04,30,31,33,35,45,34.598.123.000
05/05/2023,22,28,31,35,36,38,30.465.327.500
03/05/2023,18,23,28,29,39,44,26.803.933.500
30/04/2023,07,09,23,24,33,36,24.181.232.000
28/04/2023,05,11,25,33,42,44,22.579.217.000
26/04/2023,01,04,07,09,34,37,21.021.341.500
23/04/2023,01,02,22,30,37,42,19.213.526.500
21/04/2023,02,04,07,10,20,44,17.515.644.500
19/04/2023,10,27,37,40,42,43,16.176.335.500
16/04/2023,08,17,20,25,33,36,14.643.306.500
14/04/2023,08,16,23,27,32,41,13.246.272.000
12/04/2023,04,07,27,28,32,43,73.078.715.000
09/04/2023,12,15,25,30,34,39,66.446.394.500
07/04/2023,09,14,22,29,39,41,60.536.720.500
05/04/2023,04,08,12,15,19,43,54.938.892.500
02/04/2023,02,24,36,38,42,43,49.214.478.000
31/03/2023,01,09,10,15,30,42,44.269.078.000
29/03/2023,03,06,12,28,29,43,40.039.098.000
26/03/2023,06,16,18,25,34,45,35.931.924.500
24/03/2023,06,14,15,18,24,41,32.015.387.000
22/03/2023,05,08,10,15,17,41,28.336.399.500
19/03/2023,02,07,10,21,28,35,24.811.119.000
17/03/2023,05,07,12,22,26,33,22.922.875.000
15/03/2023,11,19,23,28,34,35,21.319.497.500
12/03/2023,10,28,29,31,33,37,19.674.351.500
10/03/2023,03,05,13,22,36,44,18.137.132.500
08/03/2023,10,13,22,25,28,36,16.668.406.500
05/03/2023,09,11,24,31,36,44,15.021.254.500
03/03/2023,10,22,26,27,33,43,13.518.471.500
01/03/2023,13,14,29,33,38,43,96.767.240.000
26/02/2023,04,09,16,26,28,42,87.754.341.500
24/02/2023,01,10,16,22,35,44,79.907.120.500
22/02/2023,08,16,22,23,28,38,72.458.330.000
19/02/2023,02,20,22,28,29,38,65.155.827.000
17/02/2023,01,05,10,13,23,25,58.862.337.500
15/02/2023,01,02,08,20,24,31,52.573.149.000
12/02/2023,03,05,11,23,24,42,46.539.623.000
10/02/2023,01,11,23,27,33,39,41.745.505.000
08/02/2023,06,18,20,22,26,34,37.143.174.500
05/02/2023,13,15,23,29,31,34,32.791.181.500
03/02/2023,04,11,16,30,33,43,28.986.447.000
01/02/2023,16,21,27,29,34,44,25.270.714.500
29/01/2023,05,21,26,27,32,33,22.873.004.500
27/01/2023,10,13,21,29,41,43,20.897.525.000
25/01/2023,12,14,18,22,28,31,18.900.382.500
20/01/2023,03,07,13,29,32,44,17.047.650.000
15/01/2023,08,09,15,21,26,45,14.962.713.000
13/01/2023,03,11,14,20,26,42,13.505.185.000
11/01/2023,01,18,22,33,34,43,58.214.087.500
08/01/2023,11,29,32,39,40,43,52.449.684.000
06/01/2023,02,07,16,25,35,38,47.263.059.500
04/01/2023,03,05,07,37,39,42,42.607.722.500
01/01/2023,16,20,26,30,32,40,38.125.966.500
30/12/2022,03,24,31,35,39,42,35.588.379.500
28/12/2022,04,05,10,21,33,37,33.302.021.500
25/12/2022,15,17,21,28,37,43,30.681.148.000
23/12/2022,02,14,21,22,35,43,28.424.712.500
21/12/2022,08,12,20,26,35,37,26.018.721.000
18/12/2022,02,12,13,33,36,42,23.854.749.000
16/12/2022,06,19,22,26,38,39,21.908.289.000
14/12/2022,13,29,35,37,38,41,20.043.738.500
11/12/2022,09,11,16,17,22,33,17.974.244.000
09/12/2022,04,23,25,30,40,41,16.429.073.500
07/12/2022,08,11,19,24,26,42,14.667.783.000
04/12/2022,04,05,07,09,27,39,13.282.007.000
02/12/2022,02,18,21,24,38,44,16.514.716.500
30/11/2022,07,15,20,25,32,37,14.921.807.000
27/11/2022,01,26,27,35,36,43,13.440.836.000
25/11/2022,14,20,24,30,35,41,20.737.613.500
23/11/2022,04,13,15,20,37,38,18.822.931.500
20/11/2022,01,04,14,22,24,40,16.973.364.000
18/11/2022,15,16,22,25,29,33,15.234.059.500
16/11/2022,02,03,12,32,35,44,13.531.338.500
13/11/2022,03,04,27,32,40,43,72.397.323.000
11/11/2022,02,03,09,15,17,43,65.752.184.000
09/11/2022,07,09,16,20,30,32,59.325.037.000
06/11/2022,08,10,12,14,17,31,53.746.736.500
04/11/2022,09,13,16,24,33,45,48.556.175.000
02/11/2022,02,17,23,27,37,42,43.928.011.000
30/10/2022,15,27,31,36,38,41,39.364.640.500
28/10/2022,16,21,22,33,42,45,35.108.565.500
26/10/2022,02,03,10,15,31,36,31.027.945.500
23/10/2022,02,11,18,33,36,45,28.053.087.500
21/10/2022,10,16,17,18,34,42,26.156.971.000
19/10/2022,01,03 ,07,10,21,29,24.040.873.500
16/10/2022,02,05,19,26,38,40,22.314.157.500
14/10/2022,01,06,22,25,30,34,20.562.119.000
12/10/2022,01,07,13,16,27,35,18.611.883.000
09/10/2022,13,15,20,25,35,43,16.803.160.500
07/10/2022,18,20,29,34,36,38,15.061.056.500
05/10/2022,09,18,23,24,29,34,13.427.711.000
02/10/2022,03,17,28,30,31,32,21.270.243.500
30/09/2022,04,11,19,20,35,41,19.422.090.500
28/09/2022,04,05,07,24,27,30,17.875.801.500
25/09/2022,03,05,08,31,33,34,16.272.183.500
23/09/2022,01,12,21,28,30,44,14.840.078.500
21/09/2022,05,10,14,25,42,45,13.397.869.000
18/09/2022,03,05,10,17,25,29,43.132.025.000
16/09/2022,02,26,35,41,42,43,39.062.754.000
14/09/2022,03,12,15,20,24,45,34.942.394.000
11/09/2022,04,15,20,31,43,44,30.720.902.000
09/09/2022,04,06,13,14,28,39,27.126.697.500
07/09/2022,08,09,10,20,35,38,24.136.566.500
04/09/2022,05,17,19,27,35,39,22.380.171.500
02/09/2022,02,03,14,21,31,33,21.055.715.000
31/08/2022,04,10,28,29,31,34,19.404.163.000
28/08/2022,08,16,31,37,39,41,17.727.644.000
26/08/2022,03,30,31,32,36,45,16.154.250.500
24/08/2022,12,20,21,23,27,34,14.664.625.000
21/08/2022,05,19,21,23,28,36,13.332.771.500
19/08/2022,25,26,33,39,41,43,48.127.997.000
17/08/2022,23,29,35,37,39,45,44.200.260.000
14/08/2022,09,13,21,24,34,35,39.833.936.500
12/08/2022,05,07,16,20,36,41,35.660.319.500
10/08/2022,04,08,10,15,26,31,32.328.305.000
07/08/2022,06,09,10,13,24,27,30.408.294.000
05/08/2022,10,13,14,32,37,42,28.638.819.500
03/08/2022,05,14,30,36,38,42,26.577.005.500
31/07/2022,03,08,15,16,40,42,24.608.526.000
29/07/2022,05,07,11,20,31,37,22.900.672.000
27/07/2022,09,15,18,22,32,41,21.311.501.500
24/07/2022,04,11,17,29,30,44,19.644.682.500
22/07/2022,04,10,18,22,31,37,17.983.538.500
20/07/2022,05,06,20,22,26,39,16.450.587.000
17/07/2022,07,13,20,23,27,29,15.129.926.500
15/07/2022,04,30,35,39,42,43,13.568.382.000
13/07/2022,04,09,21,28,35,37,16.263.765.000
10/07/2022,12,23,29,36,37,41,14.744.806.000
08/07/2022,06,07,12,18,21,43,13.152.583.000
